month,ADM3_EN,LST_day_mean,no2_mean,no2_lag1,no2_neighbor_lag1,NTL_mean,pop_sum_m,road_len,poi_count,lu_industrial_area,lu_commercial_area,lu_residential_area,lu_retail_area,lu_farmland_area,lu_farmyard_area,road_primary_len,road_motorway_len,road_trunk_len,road_secondary_len,road_tertiary_len,road_residential_len,month,ADM3_EN,export,export-raw
Jan-23,Addis Ketema,27.60879,0.001486506,0.001498895,0.001495163,389.4032862,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Jan-23,Addis Ketema,0,0
Feb-23,Addis Ketema,31.59534983,0.001520919,0.001513974,0.001510097,376.9904093,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Feb-23,Addis Ketema,0,0
Mar-23,Addis Ketema,23.49425267,0.001369231,0.001382248,0.001375191,273.7904376,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Mar-23,Addis Ketema,0,0
Apr-23,Addis Ketema,23.74811759,0.001210062,0.00120446,0.00120088,308.7099786,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Apr-23,Addis Ketema,0,0
May-23,Addis Ketema,22.80139719,0.001179378,0.001170972,0.001172529,307.9331534,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,May-23,Addis Ketema,0,0
Jun-23,Addis Ketema,22.67370723,0.001183745,0.001187973,0.001190183,285.1903123,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Jun-23,Addis Ketema,0,0
Jul-23,Addis Ketema,18.64214408,0.001160075,0.001188846,0.001188074,232.2316727,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Jul-23,Addis Ketema,5436755.419,295848864.8
Aug-23,Addis Ketema,22.15770358,0.001257216,0.001219327,0.00122093,295.6343933,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Aug-23,Addis Ketema,4674516.596,257632872.2
Sep-23,Addis Ketema,23.46178708,0.000981464,0.000998616,0.000997615,307.4745114,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Sep-23,Addis Ketema,3652231.549,201624795.7
Oct-23,Addis Ketema,26.1235734,0.001050866,0.001045122,0.001041996,325.7647996,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Oct-23,Addis Ketema,4096130.308,229824007.8
Nov-23,Addis Ketema,27.97047437,0.001270593,0.001259571,0.001254777,350.8744172,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Nov-23,Addis Ketema,3789376.069,211013257
Dec-23,Addis Ketema,26.5079512,0.001757866,0.001768733,0.001771013,404.9980302,280921.7148,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Dec-23,Addis Ketema,4013121.839,226614819.5
Jan-24,Addis Ketema,26.36872567,0.00163948,0.001627311,0.001627881,433.4840857,286949.8066,413244.7697,6,215850.9702,265450.8901,10882491.46,82401.44393,0,0,21095.16721,0,6407.418336,36722.49626,9150.718491,306043.3825,Jan-24,Addis Ketema,0,0
